index_mol,type,File Name,smiles,homo,lumo,En,Ea,EA,stable,same_sml,G1aACN,G2aACN,G1aH2O,G2aH2O,G1aDMF,G2aDMF,G1aDMSO,G2aDMSO,G1aTHF,G2aTHF,G1nACN,G2nACN,G1nH2O,G2nH2O,G1nDMF,G2nDMF,G1nDMSO,G2nDMSO,G1nTHF,G2nTHF,RP_ACN,RP_H2O,RP_DMSO,RP_DMF,RP_THF,imaginary_a,stable_a,imaginary_n,stable_n,adj
14609,OMEAD,14609.xyz,N=C1OCOCC(=O)Nc2nc1c(Br)oc2=O,-0.309837,-0.071629,-93141.46818449972,-93143.3297334698,-1.6275489700896433,stable,yes,-2.0691481515312344,-0.0724924859492895,-2.6732971905958696,0.2051507011672401,-1.9628667465853225,-0.1643981170444817,-1.9749426143109945,-0.1251851529945488,-1.729477976521419,-0.1762211910183586,-0.6777811377507567,-0.0793590064366841,-1.0353599405182363,0.2383583850144182,-0.6202628039731736,-0.1707827239318456,-0.6250076528967965,-0.1304500114549638,-0.5312157287042506,-0.1840893625287421,3.4800494633827266,3.766693904014455,3.440219073043426,3.4317683058144284,3.2859430463964285,False,True,False,True,stable
14610,OMEAD,14610.xyz,O=c1nnn2c(=O)c(=O)c(=O)[nH]cnc2c1Br,-0.326345,-0.080177,-92971.15496006267,-92973.1313209343,-1.7423608716166343,stable,yes,-2.9626499802174946,-0.1286850811275785,-3.648842156577483,0.2160948474572664,-2.8715881741215656,-0.259843404892469,-2.8932318363648437,-0.2253235881376972,-2.4657603232182006,-0.2615283337526555,-1.237793585052892,-0.1396531734349977,-1.6175463999261348,0.2307302179056311,-1.1774907104118904,-0.273598759201647,-1.1880054610718498,-0.2388457408911292,-0.9841987301307824,-0.2751057256143914,3.9242491744738177,4.256291998716349,3.902065094156197,3.890702981017131,3.678345072842317,False,True,False,True,stable
14611,OMEAD,14611.xyz,N=C1NC(=O)OCOc2cc(Br)c([nH]c2=N)N1,-0.267872,-0.040919,-92059.22489708256,-92060.5068746072,-1.0479775246316567,stable,yes,-2.5005424577089577,-0.0923421016849434,-2.869873584853472,0.1005713682530574,-2.45347955377552,-0.1301931359956589,-2.4696099176279325,-0.0817304785000765,-2.144899200642787,-0.1591757083421722,-1.0684729287511794,-0.0761186749012995,-1.2958183226755668,0.1200035613673407,-1.0347621064249175,-0.107004139289041,-1.043198451620713,-0.058380662517559,-0.8778792292481091,-0.1378898757906164,2.964270480373079,3.109464979923845,2.965738806621394,2.957883968688877,2.8042833285778905,False,True,False,True,stable
14612,OMEAD,14612.xyz,O=CC(=O)Nc1nc2occ(C=O)c(Br)c-2n1,-0.307469,-0.090718,-92099.27314339006,-92101.35565722888,-1.848513838817249,stable,yes,-2.335701883570376,-0.1852357781114239,-2.8785730641267544,0.1942952639871008,-2.265220318854417,-0.2845170546774425,-2.280817339592171,-0.2354815975612702,-1.9685756948228408,-0.3060121427673516,-0.9957377172619531,-0.1844757641730355,-0.9754587058962326,0.2072443450061089,-0.926614544805369,-0.2818813600812269,-0.9341469278445848,-0.232568891082033,-0.7861695201134037,-0.3042077559340349,3.65723801906406,4.2325772780667785,3.6660969570440725,3.6577553074625127,3.500724400360003,False,True,False,True,stable
14613,OMEAD,14613.xyz,N=C1COC(=O)OCc2csc(=O)c(Br)c2N1,-0.30761,-0.070933,-101493.31959669504,-101494.9677344043,-1.4141377092568437,stable,no,-2.3409602112987753,-0.0939263484265464,-2.8498781161027886,0.2242803036981049,-2.2783334845153327,-0.162306378002451,-2.2942047959977683,-0.1158927376769599,-1.97792987998075,-0.184058341551665,-0.9435231542230486,-0.0925717657608473,-1.2732916510409278,0.2230688529090948,-0.8974893848098346,-0.1592461858251806,-0.9056625959281428,-0.1130866998206543,-0.7481331762817277,-0.1812449566218412,3.2809293489982694,3.4575127235296943,3.273485947182775,3.266042001139612,3.1147477978856895,False,True,False,True,stable
14614,OMEAD,14614.xyz,N=c1[nH]c2c(Br)nc1OC(=O)OC=CC(=O)N2,-0.291892,-0.072264,-92567.5131291141,-92569.60670982258,-1.8595807084752014,stable,yes,-2.3308846523669073,-0.0667614964912163,-2.7510964405360117,0.1769420205646497,-2.2718024803852717,-0.1473003885121655,-2.287339636079544,-0.1071954353143496,-1.977035713922195,-0.162333317272018,-1.062169139672516,-0.0666425827457541,-1.345628487877164,0.1816150314360941,-1.0205193962390289,-0.1477591724363054,-1.029448811702049,-0.1080893292590707,-0.8562714860309202,-0.1623444739392123,3.5964151349150546,3.7377216720054935,3.5845776389079753,3.5784050086973047,3.448333779699282,False,True,False,True,stable
14615,OMEAD,14615.xyz,N=C1NC=Cc2[nH]c(=N)c(cc2Br)OC(=O)O1,-0.268018,-0.045764,-91589.35657292392,-91590.81328181631,-1.222708892408642,stable,yes,-2.477366250352538,-0.0560089183403326,-2.7401416818064592,0.151083859260233,-2.439612904908232,-0.0896870870065131,-2.4570083259749547,-0.0412671513828702,-2.1120120668920723,-0.1208098346575108,-1.0916613812301292,-0.0639064781447891,-1.2472430100527043,0.1938049148582158,-1.0674612095163325,-0.0988780038640165,-1.0771285976971865,-0.0495696165723328,-0.8906383748109786,-0.1307414453711879,3.0685162017265943,3.226328619760379,3.062286155496948,3.053669670943038,2.9021509737760582,False,True,False,True,stable
14616,OMEAD,14616.xyz,N=c1[nH]c2c(Br)occ(-c3cc[nH]n3)n-2c1=O,-0.249882,-0.021576,-91016.45001758376,-91017.0618805058,-0.3778629220291041,stable,yes,-2.9719432118765856,-0.0853136734663131,-3.482373797483858,0.1482100650592591,-2.913800921077619,-0.0967745639271234,-2.934865797195959,-0.03671387059839,-2.5163057399992916,-0.1438856320091808,-1.0124582960203323,-0.0986159582418654,-1.2379720917280024,0.1922035249450701,-0.9834661996896288,-0.11054406815567,-0.9914516522624705,-0.0495051255936725,-0.8346765321639297,-0.1590608763042202,2.792045553109805,3.134258087670771,2.77648581196731,2.7624281391885477,2.512316885569427,False,True,False,True,stable
14617,OMEAD,14617.xyz,N=COC(=O)c1coc(Br)c2[nH]c(=N)c(=O)n1-2,-0.275186,-0.044205,-92568.20769559372,-92569.4411878754,-0.9994922816662584,stable,yes,-2.436708633957849,-0.0405095864689879,-3.0004348908665457,0.2611296869858317,-2.374355109463752,-0.0943837717815163,-2.390404111279796,-0.0425700324201075,-2.068449635319332,-0.1272945794357901,-0.931682392849961,-0.0518923802594375,-1.2467325245001029,0.2784731343102585,-0.8890013379855778,-0.1064038561712161,-0.8961848710895934,-0.0547476707196987,-0.7551382027106331,-0.1390126174697394,2.9611357289836966,3.238538095357128,2.9495338835568696,2.9408259687547327,2.7690856762410077,False,True,False,True,stable
14618,OMEAD,14618.xyz,C#CCOc1nc(Br)c2n(c1=O)C(=O)C(=N)N2,-0.28325,-0.0783,-91557.1013250475,-91558.91563614443,-1.580311096954043,stable,yes,-2.6985975185405673,-0.1087709744132643,-3.549378291628845,0.248911775838807,-2.60160009338339,-0.1510803217803908,-2.619955259942664,-0.0905303677781084,-2.254031542227616,-0.1947733679934554,-1.0424678259763975,-0.1103095060307538,-1.3553897553307512,0.2742831254941809,-1.000069769499384,-0.1521679607749266,-1.0081926395584002,-0.0912248022825005,-0.8486819590865624,-0.1965083657990997,3.7029022579007234,4.26767098290751,3.659379282833915,3.6487537818435127,3.451925682289452,False,True,False,True,stable
