dataset_id,dataset_version,canonical_smiles,original_ids,representative_smiles,source_groups,groundState_charge,reduction_potential,duplicate_count,target_min,target_max,target_range,cleaning_action,murcko_scaffold
D3R_019022,D3TaLES-Reduction-v1,Cc1cc(C(=O)NNC(=O)c2cccc(I)c2)c(C)o1,81COIV,Cc1cc(C(=O)NNC(=O)c2cccc(I)c2)c(C)o1,Zinc,0.0,6.674,1,6.674,6.674,0.0,kept_unique,O=C(NNC(=O)c1ccoc1)c1ccccc1
D3R_019023,D3TaLES-Reduction-v1,Cc1cc(C(=O)NNC(=O)c2cccc3ccccc23)c(C)o1,81EBMP,Cc1cc(C(=O)NNC(=O)c2cccc3ccccc23)c(C)o1,Zinc,0.0,9.329,1,9.329,9.329,0.0,kept_unique,O=C(NNC(=O)c1cccc2ccccc12)c1ccoc1
D3R_019024,D3TaLES-Reduction-v1,Cc1cc(C(=O)NNC(=O)c2ccccc2I)n[nH]1,81KSNB,Cc1cc(C(=O)NNC(=O)c2ccccc2I)n[nH]1,Zinc,0.0,8.785,1,8.785,8.785,0.0,kept_unique,O=C(NNC(=O)c1cc[nH]n1)c1ccccc1
D3R_019025,D3TaLES-Reduction-v1,Cc1cc(C(=O)NNC(=S)NCCc2ccc(Cl)cc2)c(C)o1,81OKGL,Cc1cc(C(=O)NNC(=S)NCCc2ccc(Cl)cc2)c(C)o1,Zinc,0.0,7.133,1,7.133,7.133,0.0,kept_unique,O=C(NNC(=S)NCCc1ccccc1)c1ccoc1
D3R_019026,D3TaLES-Reduction-v1,Cc1cc(C(=O)NNS(=O)(=O)c2ccc(OC(F)(F)F)cc2)c(C)o1,81ICII,Cc1cc(C(=O)NNS(=O)(=O)c2ccc(OC(F)(F)F)cc2)c(C)o1,Zinc,0.0,6.619,1,6.619,6.619,0.0,kept_unique,O=C(NNS(=O)(=O)c1ccccc1)c1ccoc1
D3R_019027,D3TaLES-Reduction-v1,Cc1cc(C(=O)NNc2ccc(Cl)c(Cl)c2)c(C)n1Cc1ccco1,06JLPB,Cc1cc(C(=O)NNc2ccc(Cl)c(Cl)c2)c(C)n1Cc1ccco1,Zinc,0.0,6.22,1,6.22,6.22,0.0,kept_unique,O=C(NNc1ccccc1)c1ccn(Cc2ccco2)c1
D3R_019028,D3TaLES-Reduction-v1,Cc1cc(C(=O)N[C@@H](C)c2ccc(C)c(C)c2)c(C)o1,81AZOE,Cc1cc(C(=O)N[C@@H](C)c2ccc(C)c(C)c2)c(C)o1,Zinc,0.0,7.262,1,7.262,7.262,0.0,kept_unique,O=C(NCc1ccccc1)c1ccoc1
D3R_019029,D3TaLES-Reduction-v1,Cc1cc(C(=O)N[C@@H](C)c2ccccc2)c(C)n1Cc1ccco1,06SRZF,Cc1cc(C(=O)N[C@@H](C)c2ccccc2)c(C)n1Cc1ccco1,Zinc,0.0,5.453,1,5.453,5.453,0.0,kept_unique,O=C(NCc1ccccc1)c1ccn(Cc2ccco2)c1
D3R_019030,D3TaLES-Reduction-v1,Cc1cc(C(=O)N[C@@H](c2ccccc2)C(C)C)no1,81JJSS,Cc1cc(C(=O)N[C@@H](c2ccccc2)C(C)C)no1,Zinc,0.0,6.141,1,6.141,6.141,0.0,kept_unique,O=C(NCc1ccccc1)c1ccon1
D3R_019031,D3TaLES-Reduction-v1,Cc1cc(C(=O)N[C@@H]2C[C@H]3CC[C@]2(C)C3(C)C)sc1Br,06SONM,Cc1cc(C(=O)N[C@@H]2C[C@H]3CC[C@]2(C)C3(C)C)sc1Br,Zinc,0.0,6.465,1,6.465,6.465,0.0,kept_unique,O=C(N[C@@H]1C[C@H]2CCC1C2)c1cccs1
