index_mol,type,File Name,smiles,homo,lumo,En,Ea,EA,stable,same_sml,G1aACN,G2aACN,G1aH2O,G2aH2O,G1aDMF,G2aDMF,G1aDMSO,G2aDMSO,G1aTHF,G2aTHF,G1nACN,G2nACN,G1nH2O,G2nH2O,G1nDMF,G2nDMF,G1nDMSO,G2nDMSO,G1nTHF,G2nTHF,RP_ACN,RP_H2O,RP_DMSO,RP_DMF,RP_THF,imaginary_a,stable_a,imaginary_n,stable_n,adj
8094,OMEAD,8094.xyz,C#Cc1ncc2c(Br)nc3ccnc-3n2c1Br,-0.278308,-0.086191,-157519.7567674325,-157521.79935781806,-2.0425903855648357,stable,yes,-2.140406601243291,-0.1396126284737303,-2.179731676192836,0.0086992071594483,-2.14336828821265,-0.0778751696998305,-2.1575524939242268,0.0018345914688917,-1.8723752910854776,-0.1569865525475661,-0.4872440379251604,-0.1479964556995616,-0.4976230037819492,0.0224461259397721,-0.4880233719457635,-0.0882857007613644,-0.4917630323665555,-0.0089223405033361,-0.4177956894369347,-0.1669995252976121,3.6873691216571354,3.7384459767560463,3.697622915150279,3.687524770770189,3.487157014463333,False,True,False,True,stable
8095,OMEAD,8095.xyz,C#CC1CNCc2c(Br)cc(OCC=O)cc21,-0.294043,-0.014341,-89299.87057013383,-89299.84487143123,0.0256987026077695,stable,yes,-2.340455984364356,-0.1077924530661663,-2.325134614940453,0.1794579850739011,-2.317673797839582,-0.095437940774469,-2.3337647051860633,-0.0226918447318826,-2.0114064122959294,-0.1560706173822903,-0.6635120325229688,-0.1094896270488833,-0.8277613033002472,0.1883966524072778,-0.6408414126701388,-0.0974023305421832,-0.6456714332238067,-0.0246630373454471,-0.5500253253663204,-0.1580720146314298,1.6495480752509006,1.480613276365813,1.6604233767409229,1.6491692927939594,1.4336809870727,False,True,False,True,stable
8096,OMEAD,8096.xyz,C#CCN1Cc2c(Br)[nH]c(=O)c(NC=O)c2C1,-0.275061,-0.034073,-90174.7158474138,-90175.87808342268,-1.162236008880427,stable,yes,-2.256143689807198,-0.1128047898886205,-2.7066594351007653,0.2127236291677233,-2.210836736444622,-0.1274099557014102,-2.2258391884550663,-0.0587787650567148,-1.925681574826428,-0.1802920139751401,-0.825910929228983,-0.1013060756048829,-1.1978135321048866,0.1924193112154396,-0.7825378888847135,-0.1156864753907807,-0.7887464381214733,-0.0501383344854125,-0.6668489644694267,-0.1660490316754171,2.603967483742379,2.650777593924022,2.6079691897853228,2.6022583367509657,2.4353116015371516,False,True,False,True,stable
8097,OMEAD,8097.xyz,C#CCc1ncc2c(Br)c(CNC=N)c[nH]c1-2,-0.248545,-0.054877,-88622.13802783213,-88623.31247032338,-1.1744424912467366,stable,yes,-2.877080519747212,-0.0873874529952992,-2.9373817617052103,0.1197265494843191,-2.881608766058964,-0.0246306557992,-2.903325354809757,0.0585948161049244,-2.4757028184852383,-0.1061660286802918,-1.319589915100799,-0.0953715449989706,-1.3560346651173536,0.1308059363498482,-1.322318400514412,-0.0345135581365895,-1.335404626905761,0.0481929926860789,-1.0873823911903306,-0.1153732723678358,2.7239490038894782,2.766868974700122,2.7319613957318873,2.7238499544538985,2.5535556748541004,False,True,False,True,stable
8098,OMEAD,8098.xyz,C#CC1CNCc2c(Br)nc(C(=O)C#N)nc21,-0.323368,-0.088434,-89568.18022634879,-89570.29756014595,-2.117333797155879,stable,yes,-2.6249088201769717,-0.0515261150388608,-3.0254329003416585,0.0951426972645687,-2.586311649733403,-0.0269292013550779,-2.6049027389867625,0.0430086799205307,-2.235825766163213,-0.0890402724230726,-0.7814053511075661,-0.0533280528476714,-0.8630639915554642,0.1131517350269826,-0.7702794327764214,-0.0293112858579967,-0.7762112422439936,0.0407686388389649,-0.658948139298962,-0.0916781439299603,3.959035328416474,4.297711743704488,3.9437852528170825,3.9309839296099423,3.6915735525132423,False,True,False,True,stable
8099,OMEAD,8099.xyz,C#CCc1ncc2c(Br)cc(C#C)n(C=O)c1-2,-0.263364,-0.087094,-88660.28852477773,-88662.38487859827,-2.0963538205396617,stable,yes,-2.433334694529966,-0.0515854358546748,-2.6383907000829705,0.2812285589934382,-2.4169395639170617,-0.0008449134545993,-2.434347230106315,0.0808330470755133,-2.089512878754668,-0.0836837116005964,-0.7451211482530771,-0.0573281262076104,-0.8376297836044343,0.2726444559857759,-0.7345574171029959,-0.0079598738724446,-0.7410310052140808,0.0726840540884321,-0.616279057443275,-0.0893795983740824,3.778824676463614,3.888530634010535,3.781521052444815,3.771621006935882,3.563891755077569,False,True,False,True,stable
8100,OMEAD,8100.xyz,C#CC1CCCc2nc(=O)[nH]c(c2Br)CNC1,-0.285821,-0.023057,-89227.34140623297,-89228.37283821029,-1.03143197731697,stable,yes,-2.5977978467807756,-0.140295634197094,-3.066472836673131,0.2238743098577628,-2.5441642100975117,-0.1353714622568589,-2.56204861972395,-0.0670055826003228,-2.2056722879889574,-0.1907566956896418,-0.9731533574945044,-0.1304698757648465,-1.2131645619366962,0.181007945472419,-0.945060325271368,-0.1235413133232977,-0.952970946539857,-0.0558263299577122,-0.7985316515924534,-0.178303678190033,2.665902225035489,2.8418738876680605,2.651688903143673,2.6423660110766747,2.4510256312130827,False,True,False,True,stable
8101,OMEAD,8101.xyz,C#CCC1CNCc2c(Br)ccc(OC=N)c21,-0.296833,-0.005995,-88758.94759047683,-88758.96969129033,-0.0221008134976727,stable,yes,-2.2123837035909664,-0.0423504365560619,-2.2889173520891304,0.1147528528262942,-2.208853026594694,0.0188866048770944,-2.2231673027189274,0.0978096849516954,-1.9342939776728272,-0.0563602173000388,-0.7158425160551615,-0.0425523450208969,-0.7530510896037806,0.1359717453746837,-0.7100870363520274,0.0216112806970311,-0.7154661826227264,0.1011811753550726,-0.6089064052246229,-0.0551414194375104,1.5184400925686423,1.579185968531412,1.533173423997251,1.523591479560276,1.3487071838084053,False,True,False,True,stable
8102,OMEAD,8102.xyz,N=COc1c[nH]c(Br)c2cncccccc1-2,-0.242133,-0.037408,-89161.92160319147,-89162.79351333166,-0.8719101401948137,stable,yes,-2.477591288493264,-0.046584799927083,-2.5516666606149867,0.1306742332541876,-2.4766816119461703,-0.0013303645344722,-2.495182903634307,0.0710910997041408,-2.1314622195194004,-0.0691634453040178,-0.483751184751815,-0.0472623633737666,-0.4950335685375152,0.1289454940667255,-0.4855871367898768,-0.0022103806736588,-0.4894633983553415,0.0698453625720455,-0.4133953366271677,-0.0696747471981215,2.865072680489579,2.926814493084823,2.876383908341684,2.8621245992119206,2.5894657211929424,False,True,False,True,stable
8103,OMEAD,8103.xyz,C#CCN1CCCc2cc(C#N)nc(Br)c2C1,-0.311509,-0.045796,-88185.33313943302,-88186.28881981701,-0.955680383995059,stable,yes,-2.5258787046797444,-0.0654161656958735,-2.5767863049739015,0.1190000055475139,-2.5297051694135853,0.0049135595007087,-2.548050811988669,0.0872873151043837,-2.184329039418426,-0.0760054755463516,-0.7407033801579336,-0.0662243437828816,-0.7582245178159684,0.1239511167573159,-0.7420160572931951,0.0033927152824299,-0.7483220232825303,0.0852940812702644,-0.6255407238976209,-0.0769905276254658,2.7400475304298615,2.7791932823627943,2.7534159388670782,2.7418486518971705,2.513483647436749,False,True,False,True,stable
