LinComb(1-(SigmLin(redox_potential_-1)); SigmLin(redox_potential))_mean,LinComb(1-(SigmLin(redox_potential_-1)); SigmLin(redox_potential))_med,LinComb(1-(SigmLin(redox_potential_-1)); SigmLin(redox_potential))_min,LinComb(1-(SigmLin(redox_potential_-1)); SigmLin(redox_potential))_max,LinComb(1-(SigmLin(redox_potential_-1)); SigmLin(redox_potential))_std,1-(SigmLin(redox_potential_-1))_mean,1-(SigmLin(redox_potential_-1))_med,1-(SigmLin(redox_potential_-1))_min,1-(SigmLin(redox_potential_-1))_max,1-(SigmLin(redox_potential_-1))_std,SigmLin(redox_potential_-1)_mean,SigmLin(redox_potential_-1)_med,SigmLin(redox_potential_-1)_min,SigmLin(redox_potential_-1)_max,SigmLin(redox_potential_-1)_std,redox_potential_-1_mean,redox_potential_-1_med,redox_potential_-1_min,redox_potential_-1_max,redox_potential_-1_std,SigmLin(redox_potential)_mean,SigmLin(redox_potential)_med,SigmLin(redox_potential)_min,SigmLin(redox_potential)_max,SigmLin(redox_potential)_std,redox_potential_mean,redox_potential_med,redox_potential_min,redox_potential_max,redox_potential_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.4982817965368696,0.5,0.20619447449811457,0.5,0.022402074975842786,0.011695906432159063,0.0,0.0,0.9999999999999912,0.10751331175393943,0.9883040935678409,1.0,8.79380516425954e-15,1.0,0.10751331175393943,1.3486557167175917,1.2218694686889648,0.6478987336158752,3.602173328399658,0.5100718320753339,0.9848676866415801,1.0,9.735211602637814e-35,1.0,0.11612984229140719,1.3486557167175917,1.2218694686889648,0.6478987336158752,3.602173328399658,0.5100718320753339,0.4982817965368696,0.5,0.20619447449811457,0.5,0.022402074975842786,171,10,7.107071876525879,0,0,12,0,0,0,0,0
0.49837672490499835,0.5,0.20619447449811457,0.5,0.021777979130949324,0.01104972375634917,0.0,0.0,0.9999999999999912,0.10453529241696624,0.9889502762436507,1.0,8.79380516425954e-15,1.0,0.10453529241696624,1.3556496764414876,1.2218694686889648,0.6478987336158752,3.602173328399658,0.5108451613920099,0.9857037260536474,1.0,9.735211602637814e-35,1.0,0.11292918974474839,1.3556496764414876,1.2218694686889648,0.6478987336158752,3.602173328399658,0.5108451613920099,0.49837672490499835,0.5,0.20619447449811457,0.5,0.021777979130949324,181,10,7.451512098312378,0,0,11,0,0,0,0,0
0.49846171312986753,0.5,0.20619447449811457,0.5,0.02120329403774219,0.010471204187953925,0.0,0.0,0.9999999999999912,0.10179173871331774,0.989528795812046,1.0,8.79380516425954e-15,1.0,0.10179173871331774,1.3558168948008753,1.2218694686889648,0.6478987336158752,3.602173328399658,0.5055316865128077,0.9864522220717811,1.0,9.735211602637814e-35,1.0,0.10997929768766686,1.3558168948008753,1.2218694686889648,0.6478987336158752,3.602173328399658,0.5055316865128077,0.49846171312986753,0.5,0.20619447449811457,0.5,0.02120329403774219,191,10,7.910537958145142,0,0,10,0,0,0,0,0
0.4960506826390563,0.5,2.645607206247693e-09,0.5,0.04071418797477623,0.009950248755727824,0.0,0.0,0.9999999999999912,0.09925341961320555,0.9900497512442721,1.0,8.79380516425954e-15,1.0,0.09925341961320555,1.36035054417985,1.2218694686889648,0.6478987336158752,3.602173328399658,0.5085960500353001,0.9821511165223847,1.0,9.735211602637814e-35,1.0,0.12776789485271214,1.36035054417985,1.2218694686889648,0.6478987336158752,3.602173328399658,0.5085960500353001,0.4960506826390563,0.5,2.645607206247693e-09,0.5,0.04071418797477623,201,10,8.234447717666626,0,0,15,0,0,0,0,0
0.496237853854668,0.5,2.645607206247693e-09,0.5,0.03974654560799057,0.009478672985314183,0.0,0.0,0.9999999999999912,0.09689596350346083,0.9905213270146856,1.0,8.79380516425954e-15,1.0,0.09689596350346082,1.3761449735876508,1.2642087936401367,0.6478987336158752,3.602173328399658,0.5118213887592296,0.9829970347240218,1.0,9.735211602637814e-35,1.0,0.12476112649047921,1.3761449735876508,1.2642087936401367,0.6478987336158752,3.602173328399658,0.5118213887592296,0.496237853854668,0.5,2.645607206247693e-09,0.5,0.03974654560799057,211,10,8.455704927444458,0,0,13,0,0,0,0,0
0.4964080867119228,0.5,2.645607206247693e-09,0.5,0.038844764571290435,0.00904977375520947,0.0,0.0,0.9999999999999912,0.09469886667602423,0.9909502262447905,1.0,8.79380516425954e-15,1.0,0.09469886667602423,1.3811327291829554,1.2944368124008179,0.6478987336158752,3.602173328399658,0.505414565062324,0.9837663996686362,1.0,9.735211602637814e-35,1.0,0.12195701816061584,1.3811327291829554,1.2944368124008179,0.6478987336158752,3.602173328399658,0.505414565062324,0.4964080867119228,0.5,2.645607206247693e-09,0.5,0.038844764571290435,221,10,8.913649797439575,0,0,20,0,0,0,0,0
0.49656358079360774,0.5,2.645607206247693e-09,0.5,0.03800169798806056,0.008658008657581354,0.0,0.0,0.9999999999999912,0.09264473834612076,0.9913419913424185,1.0,8.79380516425954e-15,1.0,0.09264473834612076,1.3828026523321737,1.2944368124008179,0.6478987336158752,3.602173328399658,0.5020758171893829,0.9844691529296342,1.0,9.735211602637814e-35,1.0,0.11933379049982029,1.3828026523321737,1.2944368124008179,0.6478987336158752,3.602173328399658,0.5020758171893829,0.49656358079360774,0.5,2.645607206247693e-09,0.5,0.03800169798806056,231,10,9.287418842315674,0,0,10,0,0,0,0,0
0.4967061708021718,0.5,2.645607206247693e-09,0.5,0.03721123956401319,0.008298755186312418,0.0,0.0,0.9999999999999912,0.09071871829034585,0.9917012448136875,1.0,8.79380516425954e-15,1.0,0.09071871829034585,1.3806244639440197,1.2996352910995483,0.6478987336158752,3.602173328399658,0.4947055779137667,0.985113586418031,1.0,9.735211602637814e-35,1.0,0.11687280487823215,1.3806244639440197,1.2996352910995483,0.6478987336158752,3.602173328399658,0.4947055779137667,0.4967061708021718,0.5,2.645607206247693e-09,0.5,0.03721123956401319,241,10,9.647321701049805,0,0,12,0,0,0,0,0
0.4968373990570653,0.5,2.645607206247693e-09,0.5,0.036468136558524614,0.007968127489646584,0.0,0.0,0.9999999999999912,0.08890802232389038,0.9920318725103534,1.0,8.79380516425954e-15,1.0,0.08890802232389038,1.3748066047748246,1.2944368124008179,0.6478987336158752,3.602173328399658,0.4891974487988099,0.985706670624484,1.0,9.735211602637814e-35,1.0,0.11455800426212621,1.3748066047748246,1.2944368124008179,0.6478987336158752,3.602173328399658,0.4891974487988099,0.4968373990570653,0.5,2.645607206247693e-09,0.5,0.036468136558524614,251,10,10.01904582977295,0,0,13,0,0,0,0,0
0.49695663834296566,0.5,2.645607206247693e-09,0.5,0.03576769147782474,0.007662835248663957,0.0,0.0,0.9999999999999912,0.08720158372542075,0.9923371647513359,1.0,8.79380516425954e-15,1.0,0.08720158372542075,1.3769550837319473,1.2874313592910767,0.6478987336158752,3.602173328399658,0.49712980408602725,0.9862504414372675,1.0,9.735211602637814e-35,1.0,0.11237501547809291,1.3769550837319473,1.2874313592910767,0.6478987336158752,3.602173328399658,0.49712980408602725,0.49695663834296566,0.5,2.645607206247693e-09,0.5,0.03576769147782474,261,10,10.434334993362427,0,0,6,0,0,0,0,0
