history_data,total,LinComb(1-(SigmLin(redox_potential_-1)); SigmLin(redox_potential)),1-(SigmLin(redox_potential_-1)),SigmLin(redox_potential_-1),redox_potential_-1,SigmLin(redox_potential),redox_potential,smiles
C|Sub-1|AddA-8|AddA-10_Sub-17|Sub-9_ChB-1406|InsA-0_AddA-8,0.5,0.5,0.0,1.0,0.9292216300964355,1.0,0.9292216300964355,CN(N)CN
C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|AddA-29|MoveFG-1484,0.5,0.5,0.0,1.0,1.1110466718673706,1.0,1.1110466718673706,COC(P)(S)Cl
C|AddA-15|Sub-8|ChB-1406|AddA-12|MoveFG-2|AddA-12_CutA-0|MoveFG-2_AddA-15,0.5,0.5,0.0,1.0,1.57252836227417,1.0,1.57252836227417,PP=CBr
C|AddA-15|AddA-12|Sub-16_AddA-29|ChB-705|ChB-1407_InsA-1,0.5,0.5,0.0,1.0,1.6866694688796997,1.0,1.6866694688796997,BrC1CCS1
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|Sub-3|CutA-4_Sub-15,0.5,0.5,0.0,1.0,1.3789154291152954,1.0,1.3789154291152954,CC(F)Br
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|Sub-25_MoveFG-1448,0.5,0.5,0.0,1.0,0.8541673421859741,1.0,0.8541673421859741,CNC(C)C
C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|AddA-29|AddA-28,0.5,0.5,0.0,1.0,1.0686097145080566,1.0,1.0686097145080566,PCOC(P)(S)Cl
C|AddA-15|Sub-8|ChB-1406|AddA-12|MoveFG-2|AddA-12_CutA-0|AddA-9_ChB-704,0.5,0.5,0.0,1.0,1.0214974880218506,1.0,1.0214974880218506,NC1=PP1
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|Sub-3|ChB-1480_Sub-12,0.5,0.5,0.0,1.0,1.161656141281128,1.0,1.161656141281128,FC1=CC1P
C|AddA-15|Sub-8|InsA-0|ChB-2109|Sub-5_ChB-0|AddA-27|ChB-703|AddA-23,0.5,0.5,0.0,1.0,1.7103426456451416,1.0,1.7103426456451416,FC1SC1Br
C|Sub-1|AddA-8|AddA-10_Sub-17|Sub-9_ChB-1406|InsA-1_Sub-21,0.5,0.5,0.0,1.0,1.2259695529937744,1.0,1.2259695529937744,N=NCS
C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|AddA-29|InsA-3,0.5,0.5,0.0,1.0,1.140952229499817,1.0,1.140952229499817,PCCOC(S)Cl
C|AddA-15|AddA-12|Sub-16_AddA-29|ChB-705|RmA-2_AddA-30,0.5,0.5,0.0,1.0,1.7704862356185913,1.0,1.7704862356185913,ClSCBr
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|Sub-3|InsA-108_Sub-15,0.5,0.5,0.0,1.0,1.3212907314300537,1.0,1.3212907314300537,CC(Br)CCF
C|AddA-15|Sub-8|InsA-0|ChB-2109|Sub-5_ChB-0|AddA-27|ChB-703|AddA-15,0.5,0.5,0.0,1.0,1.5687990188598633,1.0,1.5687990188598633,FC1C[SH]1Br
C|AddA-15|Sub-8|ChB-1406|AddA-12|MoveFG-2|AddA-14_InsA-1,0.5,0.5,0.0,1.0,1.1230531930923462,1.0,1.1230531930923462,C=PCCCl
C|AddA-15|AddA-12|Sub-16_AddA-29|Sub-9_AddA-38|ChB-1479_RmA-1,0.5,0.5,0.0,1.0,1.5100150108337402,1.0,1.5100150108337402,CC=[SH]Cl
C|Sub-1|AddA-8|AddA-10_Sub-17|Sub-9_ChB-1406|AddA-27,0.5,0.5,0.0,1.0,1.5407357215881348,1.0,1.5407357215881348,N=NNF
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|Sub-3|CutA-4_Sub-29,0.5,0.5,0.0,1.0,0.9741948843002319,1.0,0.9741948843002319,C[SH](C)F
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|InsA-38,0.5,0.5,0.0,1.0,0.8447657227516174,1.0,0.8447657227516174,CCC(C)CC
C|AddA-15|Sub-8|InsA-0|ChB-2109|Sub-5_ChB-0|AddA-27|ChB-703|Sub-12_AddA-13,0.5,0.5,0.0,1.0,1.2869478464126587,1.0,1.2869478464126587,FC1P[SH]1S
C|AddA-15|Sub-8|ChB-1406|AddA-12|ChB-740|Sub-12|ChB-37_MoveFG-2,0.5,0.5,0.0,1.0,0.9845442175865173,1.0,0.9845442175865173,CP=P
C|AddA-15|Sub-8|ChB-1406|AddA-12|MoveFG-2|AddA-22_Sub-28,0.5,0.5,0.0,1.0,0.9272075295448303,1.0,0.9272075295448303,CP=CP
C|AddA-15|AddA-12|Sub-16_AddA-29|Sub-9_AddA-38|InsA-73_Sub-32,0.5,0.5,0.0,1.0,0.968119204044342,1.0,0.968119204044342,CSCCCN
C|Sub-1|AddA-8|AddA-10_Sub-17|Sub-9_ChB-1406|AddA-23_ChB-703,0.5,0.5,0.0,1.0,1.886666178703308,1.0,1.886666178703308,NNNBr
C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|AddA-29|Sub-47_MoveFG-39,0.5,0.5,0.0,1.0,1.3594224452972412,1.0,1.3594224452972412,OCPC(Cl)Br
C|AddA-15|Sub-8|ChB-1406|AddA-12|MoveFG-2|AddA-12_CutA-0|Sub-19_AddA-10,0.5,0.5,0.0,1.0,1.4160882234573364,1.0,1.4160882234573364,OC=PF
C|AddA-15|AddA-12|Sub-16_AddA-29|ChB-705|Sub-9_AddA-14,0.5,0.5,0.0,1.0,1.5994547605514526,1.0,1.5994547605514526,NC1(Cl)CS1
