smiles,n_success_mut,n_failures_mut,LinComb(1-(SigmLin(redox_potential_-1)); SigmLin(redox_potential)),1-(SigmLin(redox_potential_-1)),SigmLin(redox_potential_-1),redox_potential_-1,SigmLin(redox_potential),redox_potential,total,obj_computation_time,history_data
C1=S=CC1,0,0,0.5,0.0,1.0,1.4454149007797241,1.0,1.4454149007797241,0.5,0.05384111404418945,C|AddA-15|Sub-8|InsA-0|InsA-37|ChB-1443_Sub-13|RmA-0|InsA-37_ChB-1407
C1OO1,1,0,0.5,0.0,1.0,2.2374508380889893,1.0,2.2374508380889893,0.5,0.026068925857543945,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-18|CutA-1|ChB-740
C1OCO1,0,0,0.5,0.0,1.0,1.554227352142334,1.0,1.554227352142334,0.5,0.027678966522216797,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-18|CutA-1|ChB-740|InsA-1
CCC(N)F,0,0,0.5,0.0,1.0,0.9918989539146423,1.0,0.9918989539146423,0.5,0.037815093994140625,C|Sub-1|AddA-8|InsA-0_ChB-2110|ChB-1407|InsA-1|AddA-35
PCOC=CCl,0,0,0.5,0.0,1.0,1.3780359029769897,1.0,1.3780359029769897,0.5,0.03601217269897461,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|InsA-1|ChB-1481
CC(N)=CP,0,0,0.5,0.0,1.0,0.9023455381393433,1.0,0.9023455381393433,0.5,0.049391984939575195,C|AddA-15|Sub-8|InsA-0|InsA-37|AddA-28|CutA-3_MoveFG-2775|ChB-1406_InsA-1|RmA-2_AddA-9
FCCC1=[SH]C1,0,0,0.5,0.0,1.0,1.084726333618164,1.0,1.084726333618164,0.5,0.04202008247375488,C|AddA-15|Sub-8|InsA-0|InsA-37|ChB-1443_Sub-13|AddA-8|AddA-43
OCPO,0,0,0.5,0.0,1.0,1.0323466062545776,1.0,1.0323466062545776,0.5,0.04723978042602539,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-18|ChB-740_MoveFG-1446|ChB-1
CPS,0,0,0.5,0.0,1.0,0.8069756627082825,1.0,0.8069756627082825,0.5,0.029102087020874023,C|AddA-15|Sub-8|ChB-1406|AddA-12|ChB-740|InsA-1_Sub-5|RmA-1_MoveFG-39
CNOS,0,0,0.5,0.0,1.0,1.6377613544464111,1.0,1.6377613544464111,0.5,0.03566098213195801,C|Sub-1|AddA-8|AddA-10_Sub-17|Sub-2_AddA-24|ChB-1444|ChB-38_Sub-13
